uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,HOSPITAL,"< 9",F,3
AC,OUTRAS,HOSPITAL,"< 9",M,2
AC,COVID,HOSPITAL,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,1
AC,PNEUMONIA,HOSPITAL,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,3
AL,OUTRAS,DOMICILIO,"< 9",F,1
AL,OUTRAS,HOSPITAL,"< 9",F,7
AL,OUTRAS,HOSPITAL,"< 9",M,2
AL,COVID,HOSPITAL,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,1
AL,PNEUMONIA,HOSPITAL,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,5
AL,SEPTICEMIA,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",M,1
AM,OUTRAS,HOSPITAL,"< 9",F,10
AM,OUTRAS,HOSPITAL,"< 9",M,21
AM,COVID,HOSPITAL,"< 9",F,2
AM,COVID,HOSPITAL,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
AM,PNEUMONIA,HOSPITAL,"< 9",F,3
AM,PNEUMONIA,HOSPITAL,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,9
AM,SEPTICEMIA,HOSPITAL,"< 9",M,9
AM,SRAG,HOSPITAL,"< 9",M,2
AP,OUTRAS,HOSPITAL,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,2
BA,OUTRAS,DOMICILIO,"< 9",M,2
BA,OUTRAS,HOSPITAL,"< 9",F,16
BA,OUTRAS,HOSPITAL,"< 9",I,1
BA,OUTRAS,HOSPITAL,"< 9",M,23
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,1
BA,COVID,HOSPITAL,"< 9",M,2
BA,COVID,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
BA,PNEUMONIA,HOSPITAL,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,6
BA,SEPTICEMIA,HOSPITAL,"< 9",M,8
BA,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
CE,OUTRAS,DOMICILIO,"< 9",M,1
CE,OUTRAS,HOSPITAL,"< 9",F,21
CE,OUTRAS,HOSPITAL,"< 9",M,22
CE,OUTRAS,IGNORADO,"< 9",F,1
CE,OUTRAS,IGNORADO,"< 9",M,2
CE,OUTRAS,OUTRO,"< 9",F,1
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,2
CE,SEPTICEMIA,HOSPITAL,"< 9",M,6
CE,SEPTICEMIA,IGNORADO,"< 9",F,1
DF,OUTRAS,HOSPITAL,"< 9",F,8
DF,OUTRAS,HOSPITAL,"< 9",M,7
DF,OUTRAS,IGNORADO,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
DF,PNEUMONIA,HOSPITAL,"< 9",M,2
DF,SEPTICEMIA,HOSPITAL,"< 9",F,4
DF,SEPTICEMIA,HOSPITAL,"< 9",M,6
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,HOSPITAL,"< 9",F,3
ES,OUTRAS,HOSPITAL,"< 9",M,3
ES,OUTRAS,VIA_PUBLICA,"< 9",M,1
ES,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
ES,PNEUMONIA,HOSPITAL,"< 9",F,2
ES,PNEUMONIA,HOSPITAL,"< 9",M,2
ES,SEPTICEMIA,HOSPITAL,"< 9",F,3
ES,SEPTICEMIA,HOSPITAL,"< 9",M,3
GO,OUTRAS,HOSPITAL,"< 9",F,5
GO,OUTRAS,HOSPITAL,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,3
GO,SEPTICEMIA,HOSPITAL,"< 9",M,5
MA,OUTRAS,DOMICILIO,"< 9",M,1
MA,OUTRAS,HOSPITAL,"< 9",F,7
MA,OUTRAS,HOSPITAL,"< 9",M,11
MA,OUTRAS,OUTRO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,2
MA,SEPTICEMIA,HOSPITAL,"< 9",F,3
MG,OUTRAS,DOMICILIO,"< 9",F,1
MG,OUTRAS,DOMICILIO,"< 9",M,2
MG,OUTRAS,HOSPITAL,"< 9",F,26
MG,OUTRAS,HOSPITAL,"< 9",M,34
MG,OUTRAS,OUTRO,"< 9",M,1
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,OUTRAS,VIA_PUBLICA,"< 9",F,1
MG,OUTRAS,VIA_PUBLICA,"< 9",M,1
MG,COVID,HOSPITAL,"< 9",F,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,3
MG,PNEUMONIA,HOSPITAL,"< 9",M,2
MG,SEPTICEMIA,HOSPITAL,"< 9",F,16
MG,SEPTICEMIA,HOSPITAL,"< 9",M,11
